مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی,,,,
11032,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه09:45 08:15,00:00,/ /,حاج اكبري فاطمه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11033,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه11:30 10:00,00:00,/ /,حاج اكبري فاطمه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11034,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه14:00 12:30,00:00,/ /,حاج اكبري فاطمه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11035,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه15:45 14:15,00:00,/ /,حاج اكبري فاطمه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11036,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه09:45 08:15,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11037,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه11:30 10:00,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11038,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه14:00 12:30,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11039,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه15:45 14:15,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11040,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,سه شنبــه09:45 08:15,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11041,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,سه شنبــه11:30 10:00,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11042,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,سه شنبــه14:00 12:30,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11043,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,سه شنبــه15:45 14:15,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91310,آزمايشگاه مدارهاي الكتريكي,کارشناسي,0,1,تخصصي,مختلط, ,0,يکشنـــبه19:15 17:45,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91311,آزمايشگاه مدارهاي الكتريكي,کارشناسي,0,1,تخصصي,مختلط, ,0,دوشـــنبه15:45 14:15,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91312,آزمايشگاه مدارهاي الكتريكي,کارشناسي,0,1,تخصصي,مختلط, ,0,دوشـــنبه17:30 16:00,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91313,آزمايشگاه مدارهاي الكتريكي,کارشناسي,0,1,تخصصي,مختلط, ,0,دوشـــنبه19:15 17:45,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91365,آزمايشگاه مدارهاي الكتريكي,کارشناسي,0,1,تخصصي,مختلط, ,0, ,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91298,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,دوشـــنبه09:45 08:15,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91299,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,دوشـــنبه11:30 10:00,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91300,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,دوشـــنبه14:00 12:30,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91301,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,دوشـــنبه15:45 14:15,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
