مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی,,,,
10110,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,6,دوشـــنبه19:00 16:45 کلاس a1,16:00,15/10/98,ميثم منتظر,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10115,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه19:00 16:45 کلاس 114b,16:00,15/10/98,عليشاهي مرتضي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11097,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه11:30 10:45 کلاس a8 چهار شنبه14:00 12:30 کلاس a8,08:15,15/10/98,خلفي فريبا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11098,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,28,شنبـــــه19:00 16:45 کلاس 111b,10:45,15/10/98,يوسفي مهدي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11099,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,29,يکشنـــبه11:30 10:45 کلاس 111b يکشنـــبه14:00 12:30 کلاس 111b,08:15,15/10/98,ارژنگ اصغر,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11100,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,29,يکشنـــبه19:00 16:45 کلاس 111b,10:45,15/10/98,يوسفي مهدي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11115,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,1,دوشـــنبه10:30 08:15 کلاس a1,08:15,15/10/98,ارژنگ اصغر,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11116,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,1,دوشـــنبه16:30 14:15 کلاس a1,08:15,15/10/98,ارژنگ اصغر,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11120,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15 کلاس 114b,10:45,15/10/98,وزيري زهره,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11121,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,28,شنبـــــه10:30 08:15 کلاس 120b,10:45,15/10/98,خضرلو سعيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11129,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,22,چهار شنبه11:30 10:45 کلاس a1 چهار شنبه14:00 12:30 کلاس a1,13:45,19/10/98,خضرلو سعيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11130,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه19:15 16:45 کلاس a1,16:00,19/10/98,فلاح پور محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11131,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,8,پنج شنـبه11:30 10:45 کلاس a1 پنج شنـبه14:00 12:30 کلاس a1,16:00,19/10/98,عزيزي رزا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11132,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس a2,10:45,19/10/98,آزادگان الهام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11133,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه16:30 14:15 کلاس a2,16:00,19/10/98,مقصودي شورابي داود,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11134,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,1,دوشـــنبه19:00 16:45 کلاس a2,16:00,19/10/98,مقصودي شورابي داود,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11135,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس a2 سه شنبــه14:00 12:30 کلاس a2,16:00,19/10/98,مقصودي شورابي داود,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11136,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس a2,16:00,19/10/98,مقصودي شورابي داود,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11137,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس a2,13:45,19/10/98,فرخي هرسيني پروانه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11138,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه16:30 14:15 کلاس a2,16:00,19/10/98,فلاح پور محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11139,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,25,پنج شنـبه10:30 08:15 کلاس a2,08:15,19/10/98,اسلامي ربابه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11140,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,9,پنج شنـبه16:30 14:15 کلاس a2,10:45,19/10/98,رحيمي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11141,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,11,دوشـــنبه10:30 08:15 کلاس a3,13:45,19/10/98,معدن دار فاطمه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11142,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,14,دوشـــنبه16:30 14:15 کلاس a3,16:00,19/10/98,كلهر امير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11143,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,13,سه شنبــه10:30 08:15 کلاس a3,08:15,19/10/98,فرهاد ويولت,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11144,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,4,سه شنبــه19:00 16:45 کلاس a3,13:45,19/10/98,مهشيد ميركيسان,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11145,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,10,چهار شنبه11:30 10:45 کلاس a3 چهار شنبه14:00 12:30 کلاس a3,10:45,19/10/98,شجاعي بهروز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10142,رياضي عمومي 2,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه10:30 08:15 کلاس a3,10:45,19/10/98,رزاقي حميد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91262,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه10:30 08:15,13:45,25/10/98,حيدري فريده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91263,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه11:30 10:45 شنبـــــه14:00 12:30,13:45,25/10/98,حيدري فريده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91264,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15,13:45,25/10/98,حيدري فريده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92036,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 کلاس 116b يکشنـــبه14:00 12:30 کلاس 116b,10:45,25/10/98,اكبري شادباد سپيده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92037,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15 کلاس 116b,10:45,25/10/98,اكبري شادباد سپيده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92044,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه11:30 10:45 کلاس 118b چهار شنبه14:00 12:30 کلاس 118b,13:45,25/10/98,حيدري فريده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91268,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,19,پنج شنـبه10:30 08:15 کلاس 117b,13:45,25/10/98,مقاصدي محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91269,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,16,پنج شنـبه11:30 10:30 کلاس 117b پنج شنـبه14:00 12:30 کلاس 117b,13:45,25/10/98,مقاصدي محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91230,رياضيات گسسته,کارشناسي,3,0,--,مختلط, ,21,يکشنـــبه12:15 10:45 کلاس 300f يکشنـــبه14:00 12:30 کلاس 300f,10:45,25/10/98,خليليان مجيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91265,رياضيات مهندسي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه16:30 14:15 کلاس 117b,13:45,10/10/98,هاشمي زاده الهام السادات,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91266,رياضيات مهندسي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه19:00 16:45 کلاس 117b,13:45,10/10/98,معدن دار فاطمه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91267,رياضيات مهندسي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه11:30 10:45 کلاس 118b شنبـــــه14:00 12:30 کلاس 118b,13:45,10/10/98,فرخي هرسيني پروانه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92038,رياضيات مهندسي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه10:30 08:15 کلاس 118b,13:45,10/10/98,فرخي هرسيني پروانه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91355,رياضيات مهندسي,کارشناسي,3,0,--,مختلط, ,15,شنبـــــه16:15 14:00 کلاس 4علوم,10:45,16/10/98,عزتي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91356,رياضيات مهندسي,کارشناسي,3,0,--,مختلط, ,15,دوشـــنبه11:30 10:30 کلاس 1علوم دوشـــنبه14:00 12:30 کلاس 1علوم,10:45,16/10/98,عزتي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91231,ريزپردازنده و زبان اسمبلي,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه10:30 08:15,10:45,10/10/98,پيشوايي عبدالرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92019,ريزپردازنده و زبان اسمبلي,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس 300f,10:45,10/10/98,پيشوايي عبدالرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91232,ريزپردازنده و زبان اسمبلي,کارشناسي,3,0,--,مختلط, ,3,سه شنبــه11:30 10:45 کلاس 304f سه شنبــه14:00 12:30 کلاس 304f,10:45,10/10/98,پيشوايي عبدالرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91240,ريزپردازنده و زبان اسمبلي,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 300f,10:45,10/10/98,پيشوايي عبدالرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91349,زبان تخصصي,کارشناسي,2,0,--,مختلط, ,10,شنبـــــه09:45 08:15 کلاس 304f,13:45,17/10/98,نادري فرجاد زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91350,زبان تخصصي,کارشناسي,2,0,--,مختلط, ,8,شنبـــــه11:30 10:00 کلاس 304f,13:45,17/10/98,نادري فرجاد زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92089,زبان تخصصي,کارشناسي,2,0,--,مختلط, ,17,پنج شنـبه11:30 10:00,13:45,17/10/98,نادري فرجاد زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92090,زبان تخصصي,کارشناسي,2,0,--,مختلط, ,11,پنج شنـبه14:00 12:30 کلاس 118b,13:45,17/10/98,نادري فرجاد زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92091,زبان تخصصي,کارشناسي,2,0,--,مختلط, ,16,پنج شنـبه15:45 14:15 کلاس 118b,13:45,17/10/98,نادري فرجاد زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92092,زبان تخصصي,کارشناسي,2,0,--,مختلط, ,0, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91351,زبان تخصصي,کارشناسي,2,0,--,مختلط, ,20,پنج شنـبه09:45 08:15 کلاس 118b,13:45,17/10/98,نادري فرجاد زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91283,ساختمان هاي داده,کارشناسي,3,0,--,مختلط, ,7,سه شنبــه10:30 08:15 کلاس 116b,08:15,15/10/98,شجاعي رشيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92028,ساختمان هاي داده,کارشناسي,3,0,--,مختلط, ,25,پنج شنـبه10:30 08:15 کلاس 302f,08:15,15/10/98,ايزدي علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92029,ساختمان هاي داده,کارشناسي,3,0,--,مختلط, ,10,پنج شنـبه11:30 10:45 کلاس 302f پنج شنـبه14:00 12:30 کلاس 302f,08:15,15/10/98,ايزدي علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92030,ساختمان هاي داده,کارشناسي,3,0,--,مختلط, ,19,پنج شنـبه16:30 14:15 کلاس 302f,08:15,15/10/98,ايزدي علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91209,ساختمان هاي داده,کارشناسي,3,0,--,مختلط, ,1,دوشـــنبه10:30 08:15 کلاس 303f,08:15,15/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91207,ساختمان هاي داده,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 کلاس 302f يکشنـــبه14:00 12:30 کلاس 302f,08:15,15/10/98,اسبقي شبنم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91208,ساختمان هاي داده,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه16:30 14:15 کلاس 303f,08:15,15/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91326,سيستم هاي اطلاعات مديريت,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 117b سه شنبــه14:00 12:30 کلاس 117b,13:45,22/10/98,انشائي محمد وحيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91327,سيستم هاي اطلاعات مديريت,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس 117b,13:45,22/10/98,انشائي محمد وحيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92003,سيستم هاي عامل,کارشناسي,3,0,--,مختلط, ,2,شنبـــــه10:30 08:15 کلاس 301f,08:15,25/10/98,حريفي ساسان,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91210,سيستم هاي عامل,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15 کلاس 117b,08:15,25/10/98,حريفي ساسان,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91211,سيستم هاي عامل,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 کلاس 117b يکشنـــبه14:00 12:30 کلاس 117b,08:15,25/10/98,حريفي ساسان,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92034,سيستم هاي عامل,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه16:30 14:15 کلاس 303f,08:15,25/10/98,محمدزاده جواد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91245,سيستم هاي عامل,کارشناسي,3,0,--,مختلط, ,9,سه شنبــه11:30 10:45 سه شنبــه14:00 12:30,08:15,25/10/98,الماسي ساناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91228,سيگنالها و سيستم ها,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه16:30 14:15 کلاس 304f,10:45,22/10/98,ملهم حسين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91229,سيگنالها و سيستم ها,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس 118b,10:45,22/10/98,ملهم حسين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91277,سيگنالها و سيستم ها,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه19:00 16:45 کلاس 304f,10:45,22/10/98,ملهم حسين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91293,شبكه هاي كامپيوتري,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 117b,08:15,18/10/98,محمدي پرگو ابراهيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92056,شبكه هاي كامپيوتري,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه11:30 10:45 کلاس 117b چهار شنبه14:00 12:30 کلاس 117b,08:15,18/10/98,محمدي پرگو ابراهيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91224,شبكه هاي كامپيوتري,کارشناسي,3,0,--,مختلط, ,8,دوشـــنبه10:30 08:15 کلاس 118b,08:15,18/10/98,آقابراري سودابه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92016,شبكه هاي كامپيوتري,کارشناسي,3,0,--,مختلط, ,4,دوشـــنبه11:30 10:45 کلاس 118b دوشـــنبه14:00 12:30 کلاس 118b,08:15,18/10/98,آقابراري سودابه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91251,طراحي الگوريتم ها,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه11:30 10:45 کلاس 116b چهار شنبه14:00 12:30 کلاس 116b,08:15,16/10/98,سرشار محمدرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91246,طراحي الگوريتم ها,کارشناسي,3,0,--,مختلط, ,5,سه شنبــه10:30 08:15 کلاس 303f,08:15,16/10/98,صبوحي هادي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91292,طراحي الگوريتم ها,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه10:45 08:15 کلاس 118b,08:15,16/10/98,سرشار محمدرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91258,طراحي الگوريتم ها,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه11:30 10:45 کلاس 303f پنج شنـبه14:00 12:30 کلاس 303f,08:15,16/10/98,سرشار محمدرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91236,طراحي زبان هاي برنامه سازي,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه10:30 08:15 کلاس 301f,13:45,23/10/98,باغباني مجتبي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91226,طراحي زبان هاي برنامه سازي,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس 301f,13:45,23/10/98,باغباني مجتبي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92022,طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15 کلاس 304f,08:15,21/10/98,خورشيد طلب آيدا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92023,طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 کلاس 304f يکشنـــبه14:00 12:30 کلاس 304f,08:15,21/10/98,خورشيد طلب آيدا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91213,طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه10:30 08:15 کلاس 302f,08:15,21/10/98,شميراني حميدرضالطفعلي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91214,طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه16:30 14:15 کلاس 302f,08:15,21/10/98,شميراني حميدرضالطفعلي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11064,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,4,چهار شنبه10:30 08:15 کلاس 5علوم,13:45,18/10/98,دژم لعيا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11065,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,20,چهار شنبه11:30 10:45 کلاس 5علوم چهار شنبه14:00 12:30 کلاس 5علوم,13:45,18/10/98,دژم لعيا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11066,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,24,چهار شنبه19:00 16:45 کلاس 5علوم,16:00,17/10/98,دژم لعيا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11069,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس 8علوم دوشـــنبه14:00 12:30 کلاس 8علوم,10:45,18/10/98,جعفري علي ملك رويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11070,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,18,دوشـــنبه19:00 16:45 کلاس 8علوم,10:45,18/10/98,دقيق حميده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11071,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 5علوم سه شنبــه14:00 12:30 کلاس 5علوم,16:00,18/10/98,قرآن نويس زهره,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11072,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,21,سه شنبــه19:00 16:45 کلاس 5علوم,16:00,18/10/98,طالب تاش محمدرحيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11073,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,26,سه شنبــه11:30 10:45 کلاس a5 سه شنبــه14:00 12:30 کلاس a5,08:15,18/10/98,بوستان الهام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11074,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس a5,10:45,18/10/98, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11082,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,16,سه شنبــه19:00 16:45 کلاس a5,16:00,22/10/98,هژبري عليرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11083,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس a5 دوشـــنبه14:00 12:30 کلاس a5,08:15,22/10/98,ايماني خديجه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11084,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس a5,10:45,22/10/98,جمشيدي نوشين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11085,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 114b سه شنبــه14:00 12:30 کلاس 114b,10:45,22/10/98,شمس الدين سيده حديث,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11086,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس 114b,16:00,22/10/98,منصفي مهرداد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11087,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 114b,16:00,22/10/98,ياسريان كيومرث,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11088,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه16:30 14:15 کلاس 114b,13:45,22/10/98,برقعي سيدمجيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11089,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس 114b,13:45,22/10/98,محمودي داريان معصومه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11090,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,13,دوشـــنبه16:30 14:15 کلاس 114b,13:45,22/10/98,محمودي داريان معصومه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11091,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه10:30 08:15 کلاس 114b,08:15,22/10/98,ايماني خديجه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10082,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس 114b,10:45,22/10/98,ترابي بشكاني الهه سادات,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91336,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,1, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92077,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,0, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91337,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,0, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91338,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,4, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92078,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,1, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92079,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,11, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91339,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه15:45 14:15,00:00,/ /,جليلوند عباس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92080,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,شنبـــــه15:30 14:00,00:00,/ /,آجرلو شهرام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92081,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,شنبـــــه14:00 12:30,00:00,/ /,آجرلو شهرام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92082,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,چهار شنبه15:45 14:15,00:00,/ /,جليلوند عباس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91344,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,يکشنـــبه11:15 09:45,00:00,/ /,احمدنائيني محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92087,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,احمدنائيني محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91345,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,يکشنـــبه13:00 11:30,00:00,/ /,احمدنائيني محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91217,مباحث ويژه1,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس 300f,10:45,24/10/98,نيك روان شلماني عليرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91287,مباحث ويژه1,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس 301f دوشـــنبه14:00 12:30 کلاس 301f,10:45,24/10/98,ملامطلبي مهدي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91219,مباحث ويژه1,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه16:30 14:15,10:45,24/10/98,علي جماعت علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91247,مباني بازيابي اطلاعات و جستجوي وب,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 303f,10:45,14/10/98,صبوحي هادي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
